CO N IDLE
48 1 89.15
90 2 80.02
135 3 67.34
180 4 60.84
219 5 50.10
257 6 43.84
298 7 32.57
331 8 28.24
330 9 24.78
383 10 17.50
390 11 12.29
415 12 10.34
419 13 5.67
426 14 7.50
430 15 4.17
395 16 0.69
432 17 0.10
404 18 0.00
445 19 0.00
461 20 0.99
440 21 0.59
466 22 0.00
456 23 0.10
460 24 0.00
438 25 0.00
460 26 0.00
450 27 0.00
402 28 0.00
444 29 0.00
455 30 0.00
451 31 0.00
455 32 0.00
445 33 0.00
462 34 0.00
446 35 0.10
444 36 0.00
449 37 0.00
459 38 0.00
440 39 0.00
458 40 0.00
456 41 0.00
458 42 0.00
446 43 0.00
462 44 0.00
441 45 0.00
454 46 0.00
441 47 0.00
463 48 0.00
442 49 0.00
460 50 0.00
